"Protein","term","estimate","std.error","statistic","p.value"
"ER-alpha","CancerTypeIC",7.56916340581641,3.1633579760627,2.3927622049394,0.0169057568002757
"EpCAM","(Intercept)",2300.46421349294,204.936271740993,11.22526624472,1.26929490269262e-27
"EpCAM","CancerTypeIM",-426.996655629818,319.986591971411,-1.33442046117972,0.182369866296157
"EpCAM","CancerTypeLGD",-70.2013602946496,289.457484645834,-0.2425273624572,0.808421289150324
"EpCAM","CancerTypeHGD",-422.210474264079,269.94663026927,-1.564051656592,0.11812181943948
"EpCAM","CancerTypeIC",-987.69525086873,286.982177920251,-3.44166058682292,0.000602077292671936
"FAP-alpha","(Intercept)",47.5277729430824,3.73982100145842,12.7085689193542,2.07277097552378e-34
"FAP-alpha","CancerTypeIM",-6.88597371141483,5.83934003811789,-1.1792383499616,0.238583762389877
"FAP-alpha","CancerTypeLGD",-7.28585414594792,5.28222344883853,-1.37931577800821,0.168105793300575
"FAP-alpha","CancerTypeHGD",-7.17495055245913,4.92617567684582,-1.45649506293149,0.145569711433711
"FAP-alpha","CancerTypeIC",31.5227608306788,5.2370523134473,6.01918005472985,2.45808003543944e-09
"FOXP3","(Intercept)",20.6808275715582,1.06237230340089,19.4666479023918,8.06972581743913e-72
"FOXP3","CancerTypeIM",-1.14249751429436,1.65878343488022,-0.688756283834523,0.491136408739934
"FOXP3","CancerTypeLGD",1.78216068530522,1.50052312402984,1.18769291640038,0.235236438300512
"FOXP3","CancerTypeHGD",-0.0466764481114811,1.39938050476942,-0.0333550795887157,0.973398087247467
"FOXP3","CancerTypeIC",0.313038428309129,1.48769134327507,0.210418935167017,0.833383581010776
"Fibronectin","(Intercept)",12044.7483581559,946.009023184618,12.7321706907285,1.59823697575512e-34
"Fibronectin","CancerTypeIM",-1122.57082035145,1477.09432171981,-0.759985874865742,0.447442158529278
"Fibronectin","CancerTypeLGD",-3075.5242220871,1336.16850729752,-2.30174877292051,0.0215541383367428
"Fibronectin","CancerTypeHGD",-5165.98915839664,1246.10419543379,-4.14571203381453,3.67474417116687e-05
"Fibronectin","CancerTypeIC",920.337055402639,1324.74221131947,0.694729168844077,0.487386423277894
"GITR","(Intercept)",13.4314185822861,0.646187784984731,20.7856274822704,4.82085494511874e-80
"GITR","CancerTypeIM",0.111191884604543,1.00895476107883,0.11020502493655,0.912268889438439
"GITR","CancerTypeLGD",0.11661602388386,0.912692952114096,0.127771364524881,0.89835560103826
"GITR","CancerTypeHGD",-2.47188316444142,0.851172969996503,-2.90409029841675,0.00376424287384169
"GITR","CancerTypeIC",-0.881339153492298,0.904888023505928,-0.973975929173654,0.33030402776198
"GZMB","(Intercept)",201.610092766499,35.6755301273034,5.65121504984172,2.07700569844645e-08
